step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
675.0,13,1861.0,62.03333333333333,4.61944580868805,3,180.0,0.18130823155078848,6,1268.0,0.0,9,1448.0
680.0,14,1904.0,63.46666666666667,4.691076116211745,3,148.0,0.3616742148449354,6,1298.0,0.1147184268076311,9,1446.0
685.0,16,1979.0,68.24137931034483,4.538524240804282,5,168.0,0.164236205281623,6,1328.0,0.18600592831893376,11,1496.0
690.0,19,2061.0,71.06896551724138,3.1141130671791757,5,193.0,0.0,7,1361.0,0.336016131225854,12,1554.0
695.0,14,2107.0,72.65517241379311,4.7883457332757,3,186.0,0.2061782497660045,6,1388.0,0.2987659957875065,9,1574.0
700.0,15,2178.0,75.10344827586206,4.2619309676565,3,204.0,0.43951727698028437,7,1425.0,0.2610348829157154,10,1629.0
705.0,15,2227.0,71.83870967741936,4.66793082668286,2,196.0,0.5611388998341559,7,1458.0,0.2501293221012798,9,1654.0
710.0,14,2297.0,74.09677419354838,5.215416264392507,2,203.0,0.4219542513513327,7,1487.0,0.17826629694523802,9,1690.0
715.0,15,2369.0,81.6896551724138,4.52524696165764,3,215.0,0.1796344679835376,7,1522.0,0.0,10,1737.0
720.0,15,2444.0,106.26086956521739,4.003574257567742,3,230.0,0.0,7,1558.0,0.3029248547473187,10,1788.0
725.0,15,2508.0,125.4,2.545028321980059,2,233.0,0.0,8,1595.0,0.22080384218015292,10,1828.0
730.0,15,2583.0,123.0,1.4105374337526315,2,243.0,0.0,8,1634.0,0.001083128854730157,10,1877.0
735.0,16,2663.0,121.04545454545455,2.94511969151726,2,253.0,0.31726834352447414,9,1679.0,0.0,11,1932.0
740.0,16,2733.0,130.14285714285714,2.4652601559285947,2,263.0,0.0,8,1714.0,0.10596919200331106,10,1977.0
